Index,Fixture,Date,Promotion,Match type,Event
6373,"Go Shiozaki, Hiroshi Tanahashi & Suwama vs. KENSO, Shinsuke Nakamura & Takashi Sugiura",08/27/2011,New Japan Pro Wrestling,Six Man Tag Team,NJPW/AJPW/NOAH All Together 2011
6374,Keiji Muto & Kenta Kobashi vs. Takashi Iizuka & Toru Yano,08/27/2011,New Japan Pro Wrestling,Tag Team,NJPW/AJPW/NOAH All Together 2011
6375,"Gedo, Shinsuke Nakamura & Toru Yano vs. Hirooki Goto, Hiroshi Tanahashi & KUSHIDA",08/22/2011,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Live In Tsubame ~ Tsubame Returns
6376,Hiroshi Tanahashi vs. Tetsuya Naito,08/14/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6377,Togi Makabe vs. Yujiro Takahashi,08/14/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6378,Karl Anderson vs. MVP,08/14/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6379,Hiroyoshi Tenzan vs. Satoshi Kojima,08/14/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6380,Minoru Suzuki vs. Shinsuke Nakamura,08/14/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6381,Shinsuke Nakamura vs. Tetsuya Naito,08/14/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6382,Kenny Omega & Kota Ibushi vs. Prince Devitt & Ryusuke Taguchi,08/14/2011,New Japan Pro Wrestling,Tag Team,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 10
6383,Hiroshi Tanahashi vs. Toru Yano,08/13/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 9
6384,Hirooki Goto vs. Shinsuke Nakamura,08/13/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 9
6385,Yoshihiro Takayama vs. Yuji Nagata,08/11/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 8
6386,Karl Anderson vs. Shinsuke Nakamura,08/10/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 7
6387,Hirooki Goto vs. Minoru Suzuki,08/08/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 6
6388,Hirooki Goto vs. Karl Anderson,08/07/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 5
6389,Hirooki Goto vs. La Sombra,08/06/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 4
6390,Hirooki Goto vs. Satoshi Kojima,08/05/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 3
6391,Hiroyoshi Tenzan vs. Shinsuke Nakamura,08/05/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 3
6392,Satoshi Kojima vs. Shinsuke Nakamura,08/02/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 2
6393,Hiroshi Tanahashi vs. Yuji Nagata,08/01/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 1
6394,Minoru Suzuki vs. Satoshi Kojima,08/01/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax 2011 ~ The Invincible Fighter ~ - Tag 1
6395,MVP vs. Toru Yano,07/18/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2011 - Tag 8
6396,Minoru Suzuki vs. Satoshi Kojima,07/18/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2011 - Tag 8
6397,Giant Bernard vs. Hiroshi Tanahashi,07/18/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2011 - Tag 8
6398,Giant Bernard & Karl Anderson vs. Hirooki Goto & Hiroshi Tanahashi,07/03/2011,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2011 - Tag 1
6399,MVP vs. Tomohiro Ishii,07/03/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2011 - Tag 1
6400,Mascara Dorada vs. Ryusuke Taguchi,06/18/2011,New Japan Pro Wrestling,Singles,NJPW Dominion 6.18
6401,MVP vs. Toru Yano,06/18/2011,New Japan Pro Wrestling,Singles,NJPW Dominion 6.18
6402,Giant Bernard & Karl Anderson vs. Takuma Sano & Yoshihiro Takayama,06/18/2011,New Japan Pro Wrestling,Tag Team,NJPW Dominion 6.18
