,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
106,Goldust vs. Ken Shamrock vs. The Road Dogg vs. Val Venis,03/28/1999,World Wrestling Federation,Four Way Elimination,"WWF WrestleMania XV - ""The Ragin' Climax""",Goldust,Ken Shamrock,The Road Dogg,Val Venis,n/a,n/a,n/a,n/a
107,Kane vs. Triple H,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax""",Kane,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
108,Sable vs. Tori,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax""",Sable,Tori,n/a,n/a,n/a,n/a,n/a,n/a
109,Shane McMahon vs. X-Pac,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax""",Shane McMahon,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
110,The Big Bossman vs. The Undertaker,03/28/1999,World Wrestling Federation,Hell In A Cell,"WWF WrestleMania XV - ""The Ragin' Climax""",The Big Bossman,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
111,Steve Austin vs. The Rock,03/28/1999,World Wrestling Federation,No Disqualification,"WWF WrestleMania XV - ""The Ragin' Climax""",Steve Austin,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
112,Mankind vs. The Rock,03/22/1999,World Wrestling Federation,Singles,WWF RAW is WAR #304,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
113,Paul Wight vs. Steve Austin,03/22/1999,World Wrestling Federation,Singles,WWF RAW is WAR #304,Paul Wight,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
114,Billy Gunn vs. Hardcore Holly,03/15/1999,World Wrestling Federation,Singles,WWF RAW is WAR #303,Billy Gunn,Hardcore Holly,n/a,n/a,n/a,n/a,n/a,n/a
115,Mankind & Steve Austin vs. Paul Wight & The Rock,03/15/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #303,Mankind,Steve Austin,Paul Wight,The Rock,n/a,n/a,n/a,n/a
116,Jeff Hardy & Matt Hardy vs. Jeff Jarrett & Owen Hart,03/14/1999,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Jeff Hardy,Matt Hardy,Jeff Jarrett,Owen Hart,n/a,n/a,n/a,n/a
117,Mankind vs. Steve Austin,03/02/1999,World Wrestling Federation,Singles,WWF RAW is WAR #302,Mankind,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
118,Jeff Jarrett & Owen Hart vs. Triple H & X-Pac,03/01/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #301,Jeff Jarrett,Owen Hart,Triple H,X-Pac,n/a,n/a,n/a,n/a
119,Kane vs. Steve Austin,03/01/1999,World Wrestling Federation,Singles,WWF RAW is WAR #301,Kane,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
120,Bart Gunn vs. Bob Holly,02/16/1999,World Wrestling Federation,Singles,WWF RAW is WAR #300,Bart Gunn,Bob Holly,n/a,n/a,n/a,n/a,n/a,n/a
121,Kane vs. The Undertaker,02/16/1999,World Wrestling Federation,Inferno,WWF RAW is WAR #300,Kane,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
122,"8-Ball, Brian Christopher, Scott Taylor & Skull vs. George Steele, Giant Silva, Golga & Kurrgan",02/15/1999,World Wrestling Federation,Eight Man Tag Team,WWF Shotgun Saturday Night,8-Ball,Brian Christopher,Scott Taylor,Skull,George Steele,Giant Silva,Golga,Kurrgan
123,Mankind vs. The Rock,02/15/1999,World Wrestling Federation,Ladder,WWF RAW is WAR #299,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
124,Al Snow vs. Bob Holly,02/14/1999,World Wrestling Federation,Singles,WWF In Your House 27: St. Valentine's Day Massacre,Al Snow,Bob Holly,n/a,n/a,n/a,n/a,n/a,n/a
125,Mideon vs. The Big Bossman,02/14/1999,World Wrestling Federation,Singles,WWF In Your House 27: St. Valentine's Day Massacre,Mideon,The Big Bossman,n/a,n/a,n/a,n/a,n/a,n/a
126,D-Lo Brown & Mark Henry vs. Jeff Jarrett & Owen Hart,02/14/1999,World Wrestling Federation,Tag Team,WWF In Your House 27: St. Valentine's Day Massacre,D-Lo Brown,Mark Henry,Jeff Jarrett,Owen Hart,n/a,n/a,n/a,n/a
127,Ken Shamrock vs. Val Venis,02/14/1999,World Wrestling Federation,Singles,WWF In Your House 27: St. Valentine's Day Massacre,Ken Shamrock,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
128,Chyna & Kane vs. Triple H & X-Pac,02/14/1999,World Wrestling Federation,Tag Team,WWF In Your House 27: St. Valentine's Day Massacre,Chyna,Kane,Triple H,X-Pac,n/a,n/a,n/a,n/a
129,Steve Austin vs. Vince McMahon,02/14/1999,World Wrestling Federation,Steel Cage,WWF In Your House 27: St. Valentine's Day Massacre,Steve Austin,Vince McMahon,n/a,n/a,n/a,n/a,n/a,n/a
130,Mankind vs. The Rock,02/14/1999,World Wrestling Federation,Last Man Standing,WWF In Your House 27: St. Valentine's Day Massacre,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
131,"Chyna, Kane, Ken Shamrock, Test, The Big Bossman & Vince McMahon vs. Steve Austin",02/08/1999,World Wrestling Federation,Six On One Handicap Gauntlet,WWF RAW is WAR #298 - RAW Saturday Night,Chyna,Kane,Ken Shamrock,Test,The Big Bossman,Vince McMahon,Steve Austin,n/a
132,Al Snow & The Road Dogg vs. Bradshaw & Faarooq,01/26/1999,World Wrestling Federation,Hardcore Tag Team,WWF RAW is WAR #297,Al Snow,The Road Dogg,Bradshaw,Faarooq,n/a,n/a,n/a,n/a
133,Kane vs. Triple H,01/26/1999,World Wrestling Federation,Steel Cage,WWF RAW is WAR #297,Kane,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
134,D-Lo Brown & Mark Henry vs. Jeff Jarrett & Owen Hart vs. Triple H & X-Pac,01/26/1999,World Wrestling Federation,Three Way Tag Team,WWF Sunday Night Heat #28,D-Lo Brown,Mark Henry,Jeff Jarrett,Owen Hart,Triple H,X-Pac,n/a,n/a
135,Mankind vs. The Rock,01/26/1999,World Wrestling Federation,Empty Arena,WWF Halftime Heat,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
136,Ken Shamrock vs. Owen Hart,01/25/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #27,Ken Shamrock,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
137,Al Snow & The Road Dogg vs. Edge & Gangrel,01/25/1999,World Wrestling Federation,Hardcore Tag Team,WWF RAW is WAR #296,Al Snow,The Road Dogg,Edge,Gangrel,n/a,n/a,n/a,n/a
