,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
138,The Rock vs. Triple H,01/25/1999,World Wrestling Federation,I Quit,WWF RAW is WAR #296,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
139,Mabel vs. Mankind,01/24/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #26,Mabel,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
140,Billy Gunn vs. Ken Shamrock,01/24/1999,World Wrestling Federation,Singles,WWF Royal Rumble 1999 - No Chance In Hell,Billy Gunn,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
141,The Big Bossman vs. The Road Dogg,01/24/1999,World Wrestling Federation,Singles,WWF Royal Rumble 1999 - No Chance In Hell,The Big Bossman,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
142,Gangrel vs. X-Pac,01/24/1999,World Wrestling Federation,Singles,WWF Royal Rumble 1999 - No Chance In Hell,Gangrel,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
143,Mankind vs. The Rock,01/24/1999,World Wrestling Federation,I Quit,WWF Royal Rumble 1999 - No Chance In Hell,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
144,Billy Gunn vs. Test,01/12/1999,World Wrestling Federation,Singles,WWF RAW is WAR #295,Billy Gunn,Test,n/a,n/a,n/a,n/a,n/a,n/a
145,Mankind vs. The Big Bossman,01/12/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #295,Mankind,The Big Bossman,n/a,n/a,n/a,n/a,n/a,n/a
146,Chyna vs. Gerald Brisco & Pat Patterson,01/12/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #295,Chyna,Gerald Brisco,Pat Patterson,n/a,n/a,n/a,n/a,n/a
147,Gangrel vs. The Road Dogg,01/12/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #295,Gangrel,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
148,Kane vs. Mankind,01/11/1999,World Wrestling Federation,Singles,WWF RAW is WAR #294,Kane,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
149,Owen Hart vs. Steve Blackman,01/10/1999,World Wrestling Federation,Lion's Den,WWF Sunday Night Heat #24,Owen Hart,Steve Blackman,n/a,n/a,n/a,n/a,n/a,n/a
150,Mankind vs. The Rock,12/29/1998,World Wrestling Federation,No Disqualification,WWF RAW is WAR #293,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
151,Al Snow vs. The Road Dogg,12/29/1998,World Wrestling Federation,Singles,WWF RAW is WAR #293,Al Snow,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
152,Mankind vs. The Road Dogg,12/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #292,Mankind,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
153,The Big Bossman vs. X-Pac,12/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #292,The Big Bossman,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
154,Ken Shamrock vs. Triple H,12/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #292,Ken Shamrock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
155,The Big Bossman vs. The Road Dogg,12/15/1998,World Wrestling Federation,Singles,WWF RAW is WAR #291,The Big Bossman,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
156,Billy Gunn vs. Ken Shamrock,12/15/1998,World Wrestling Federation,Singles,WWF RAW is WAR #291,Billy Gunn,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
157,Test & The Rock vs. Triple H & X-Pac,12/15/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #291,Test,The Rock,Triple H,X-Pac,n/a,n/a,n/a,n/a
158,Ken Shamrock vs. Mankind vs. The Big Bossman vs. The Rock,12/14/1998,World Wrestling Federation,Fatal Four Way,WWF Sunday Night Heat #21,Ken Shamrock,Mankind,The Big Bossman,The Rock,n/a,n/a,n/a,n/a
159,Billy Gunn & The Road Dogg vs. Ken Shamrock & The Big Bossman,12/14/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #290,Billy Gunn,The Road Dogg,Ken Shamrock,The Big Bossman,n/a,n/a,n/a,n/a
160,The Rock vs. Triple H,12/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #290,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
161,D-Lo Brown & Mark Henry vs. The Godfather & Val Venis,12/13/1998,World Wrestling Federation,Tag Team,WWF In Your House 26: Rock Bottom,D-Lo Brown,Mark Henry,The Godfather,Val Venis,n/a,n/a,n/a,n/a
162,Golga & Kurrgan vs. Mosh & Thrasher,12/13/1998,World Wrestling Federation,Tag Team,WWF In Your House 26: Rock Bottom,Golga,Kurrgan,Mosh,Thrasher,n/a,n/a,n/a,n/a
163,Owen Hart vs. Steve Blackman,12/13/1998,World Wrestling Federation,Singles,WWF In Your House 26: Rock Bottom,Owen Hart,Steve Blackman,n/a,n/a,n/a,n/a,n/a,n/a
164,"Al Snow, Bob Holly & Scorpio vs. Christian, Edge & Gangrel",12/13/1998,World Wrestling Federation,Six Man Tag Team,WWF In Your House 26: Rock Bottom,Al Snow,Bob Holly,Scorpio,Christian,Edge,Gangrel,n/a,n/a
165,Goldust vs. Jeff Jarrett,12/13/1998,World Wrestling Federation,Striptease,WWF In Your House 26: Rock Bottom,Goldust,Jeff Jarrett,n/a,n/a,n/a,n/a,n/a,n/a
166,Billy Gunn & The Road Dogg vs. Ken Shamrock & The Big Bossman,12/13/1998,World Wrestling Federation,Tag Team,WWF In Your House 26: Rock Bottom,Billy Gunn,The Road Dogg,Ken Shamrock,The Big Bossman,n/a,n/a,n/a,n/a
167,Steve Austin vs. The Undertaker,12/13/1998,World Wrestling Federation,Buried Alive,WWF In Your House 26: Rock Bottom,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
168,Mankind vs. The Rock,12/13/1998,World Wrestling Federation,Singles,WWF In Your House 26: Rock Bottom,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
169,Kane vs. Mankind vs. Steve Austin vs. The Undertaker,12/06/1998,World Wrestling Federation,Fatal Four Way,WWF Capital Carnage,Kane,Mankind,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a
170,Al Snow vs. Gangrel,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage,Al Snow,Gangrel,n/a,n/a,n/a,n/a,n/a,n/a
171,Goldust vs. Val Venis,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage,Goldust,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
172,Ken Shamrock vs. Steve Blackman,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage,Ken Shamrock,Steve Blackman,n/a,n/a,n/a,n/a,n/a,n/a
173,Jeff Jarrett vs. Triple H,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage,Jeff Jarrett,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
174,Billy Gunn & The Road Dogg vs. D-Lo Brown & Mark Henry,12/06/1998,World Wrestling Federation,Tag Team,WWF Capital Carnage,Billy Gunn,The Road Dogg,D-Lo Brown,Mark Henry,n/a,n/a,n/a,n/a
175,The Rock vs. X-Pac,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage,The Rock,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
176,Mankind & Steve Austin vs. The Rock & The Undertaker,12/01/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #289,Mankind,Steve Austin,The Rock,The Undertaker,n/a,n/a,n/a,n/a
177,Ken Shamrock & The Big Bossman vs. Triple H & X-Pac,12/01/1998,World Wrestling Federation,Anything Goes Tag Team,WWF RAW is WAR #289,Ken Shamrock,The Big Bossman,Triple H,X-Pac,n/a,n/a,n/a,n/a
178,Al Snow vs. The Rock,11/30/1998,World Wrestling Federation,Singles,WWF RAW is WAR #288,Al Snow,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
179,Mankind vs. The Big Bossman,11/30/1998,World Wrestling Federation,Ladder,WWF RAW is WAR #288,Mankind,The Big Bossman,n/a,n/a,n/a,n/a,n/a,n/a
180,Apolo Dantes vs. Negro Casas,11/29/1998,World Wrestling Federation,Singles,WWF Super Astros #4,Apolo Dantes,Negro Casas,n/a,n/a,n/a,n/a,n/a,n/a
181,Dick Togo vs. Steven Regal,11/17/1998,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Dick Togo,Steven Regal,n/a,n/a,n/a,n/a,n/a,n/a
182,Billy Gunn & The Road Dogg vs. Bob Holly & Scorpio,11/17/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #287,Billy Gunn,The Road Dogg,Bob Holly,Scorpio,n/a,n/a,n/a,n/a
183,D-Lo Brown & Mark Henry vs. Edge & Gangrel,11/17/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #287,D-Lo Brown,Mark Henry,Edge,Gangrel,n/a,n/a,n/a,n/a
184,The Rock vs. X-Pac,11/17/1998,World Wrestling Federation,Singles,WWF RAW is WAR #287,The Rock,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
185,Ken Shamrock vs. Mankind vs. The Big Bossman,11/17/1998,World Wrestling Federation,Triple Threat,WWF RAW is WAR #287,Ken Shamrock,Mankind,The Big Bossman,n/a,n/a,n/a,n/a,n/a
186,Steve Austin vs. The Rock,11/16/1998,World Wrestling Federation,Singles,WWF RAW is WAR #286,Steve Austin,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
187,Mankind vs. Steve Austin,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,Mankind,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
188,The Rock vs. The Undertaker,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,The Rock,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
189,Kane vs. The Undertaker,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,Kane,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
190,Steven Regal vs. X-Pac,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,Steven Regal,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
191,Goldust vs. Ken Shamrock,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,Goldust,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
192,Ken Shamrock vs. The Rock,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,Ken Shamrock,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
193,Billy Gunn & The Road Dogg vs. D-Lo Brown & Mark Henry vs. Mosh & Thrasher,11/15/1998,World Wrestling Federation,Three Way Dance,WWF Survivor Series 1998 - Deadly Game,Billy Gunn,The Road Dogg,D-Lo Brown,Mark Henry,Mosh,Thrasher,n/a,n/a
194,Mankind vs. The Rock,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
195,Ken Shamrock vs. Mankind,11/03/1998,World Wrestling Federation,Singles,WWF RAW is WAR #285,Ken Shamrock,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
196,D-Lo Brown vs. Mosh vs. The Road Dogg,11/03/1998,World Wrestling Federation,Triple Threat,WWF RAW is WAR #285,D-Lo Brown,Mosh,The Road Dogg,n/a,n/a,n/a,n/a,n/a
197,Mark Henry vs. The Rock,11/03/1998,World Wrestling Federation,Singles,WWF RAW is WAR #285,Mark Henry,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
198,Manuel Gomez vs. Papi Chulo,11/02/1998,World Wrestling Federation,Singles,WWF Super Astros #2,Manuel Gomez,Papi Chulo,n/a,n/a,n/a,n/a,n/a,n/a
199,D-Lo Brown & Mark Henry vs. Mosh & Thrasher,11/02/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #284,D-Lo Brown,Mark Henry,Mosh,Thrasher,n/a,n/a,n/a,n/a
200,Goldust vs. Steven Regal,11/02/1998,World Wrestling Federation,Singles,WWF RAW is WAR #284,Goldust,Steven Regal,n/a,n/a,n/a,n/a,n/a,n/a
201,Ken Shamrock vs. The Rock,11/02/1998,World Wrestling Federation,Singles,WWF RAW is WAR #284,Ken Shamrock,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
202,Al Snow & Mankind vs. Billy Gunn & The Road Dogg,10/20/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #283,Al Snow,Mankind,Billy Gunn,The Road Dogg,n/a,n/a,n/a,n/a
203,Ken Shamrock vs. Steve Austin,10/20/1998,World Wrestling Federation,I Quit,WWF RAW is WAR #283,Ken Shamrock,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
204,D-Lo Brown & Ken Shamrock vs. Mankind & X-Pac,10/19/1998,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #13,D-Lo Brown,Ken Shamrock,Mankind,X-Pac,n/a,n/a,n/a,n/a
205,Christian vs. Taka Michinoku,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,Christian,Taka Michinoku,n/a,n/a,n/a,n/a,n/a,n/a
206,"8-Ball, Paul Ellering & Skull vs. Animal, Droz & Hawk",10/18/1998,World Wrestling Federation,Six Man Tag Team,WWF In Your House 25: Judgment Day 1998,8-Ball,Paul Ellering,Skull,Animal,Droz,Hawk,n/a,n/a
207,Goldust vs. Val Venis,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,Goldust,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
208,Al Snow vs. Marc Mero,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,Al Snow,Marc Mero,n/a,n/a,n/a,n/a,n/a,n/a
209,Billy Gunn & The Road Dogg vs. Mosh & Thrasher,10/18/1998,World Wrestling Federation,Tag Team,WWF In Your House 25: Judgment Day 1998,Billy Gunn,The Road Dogg,Mosh,Thrasher,n/a,n/a,n/a,n/a
210,Mark Henry vs. The Rock,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,Mark Henry,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
211,Kane vs. The Undertaker,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,Kane,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
212,Ken Shamrock vs. Mankind,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,Ken Shamrock,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
213,D-Lo Brown vs. X-Pac,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998,D-Lo Brown,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
214,Kane & The Undertaker vs. Steve Austin & The Rock,10/12/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #281,Kane,The Undertaker,Steve Austin,The Rock,n/a,n/a,n/a,n/a
215,Jeff Jarrett vs. The Rock,09/29/1998,World Wrestling Federation,Singles,WWF Sunday Night Heat #10,Jeff Jarrett,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
216,D-Lo Brown vs. X-Pac,09/29/1998,World Wrestling Federation,Singles,WWF RAW is WAR #280,D-Lo Brown,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
217,Kane vs. Ken Shamrock,09/29/1998,World Wrestling Federation,Singles,WWF RAW is WAR #280,Kane,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
218,The Rock vs. The Undertaker,09/29/1998,World Wrestling Federation,Singles,WWF RAW is WAR #280,The Rock,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
219,D-Lo Brown vs. Droz vs. Edge vs. Gangrel vs. Jeff Jarrett vs. Marc Mero,09/28/1998,World Wrestling Federation,Six Way Elimination,WWF RAW is WAR #279,D-Lo Brown,Droz,Edge,Gangrel,Jeff Jarrett,Marc Mero,n/a,n/a
220,"Kane & The Undertaker vs. Ken Shamrock, Mankind & The Rock",09/28/1998,World Wrestling Federation,Three On Two Handicap,WWF RAW is WAR #279,Kane,The Undertaker,Ken Shamrock,Mankind,The Rock,n/a,n/a,n/a
221,Bradshaw vs. Vader,09/27/1998,World Wrestling Federation,Falls Count Anywhere,WWF In Your House 24: Breakdown,Bradshaw,Vader,n/a,n/a,n/a,n/a,n/a,n/a
222,Edge vs. Owen Hart,09/27/1998,World Wrestling Federation,Singles,WWF In Your House 24: Breakdown,Edge,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
223,Darren Drozdov vs. Marc Mero,09/27/1998,World Wrestling Federation,Singles,WWF In Your House 24: Breakdown,Darren Drozdov,Marc Mero,n/a,n/a,n/a,n/a,n/a,n/a
224,Al Snow & Scorpio vs. Brian Christopher & Scott Taylor,09/27/1998,World Wrestling Federation,Tag Team,WWF In Your House 24: Breakdown,Al Snow,Scorpio,Brian Christopher,Scott Taylor,n/a,n/a,n/a,n/a
225,D-Lo Brown vs. Gangrel,09/27/1998,World Wrestling Federation,Singles,WWF In Your House 24: Breakdown,D-Lo Brown,Gangrel,n/a,n/a,n/a,n/a,n/a,n/a
226,Dustin Runnels vs. Val Venis,09/27/1998,World Wrestling Federation,Singles,WWF In Your House 24: Breakdown,Dustin Runnels,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
227,"Billy Gunn, The Road Dogg & X-Pac vs. Dennis Knight, Jeff Jarrett & Mark Canterbury",09/27/1998,World Wrestling Federation,Six Man Tag Team,WWF In Your House 24: Breakdown,Billy Gunn,The Road Dogg,X-Pac,Dennis Knight,Jeff Jarrett,Mark Canterbury,n/a,n/a
228,Kane vs. Steve Austin vs. The Undertaker,09/27/1998,World Wrestling Federation,Triple Threat,WWF In Your House 24: Breakdown,Kane,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a
229,Ken Shamrock vs. Mankind vs. The Rock,09/27/1998,World Wrestling Federation,Triple Threat Steel Cage,WWF In Your House 24: Breakdown,Ken Shamrock,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a
230,Billy Gunn vs. Jeff Jarrett,09/15/1998,World Wrestling Federation,Singles,WWF RAW is WAR #278,Billy Gunn,Jeff Jarrett,n/a,n/a,n/a,n/a,n/a,n/a
231,Billy Gunn & Steve Austin vs. Kane & The Undertaker,09/15/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #278,Billy Gunn,Steve Austin,Kane,The Undertaker,n/a,n/a,n/a,n/a
232,D-Lo Brown vs. X-Pac,09/15/1998,World Wrestling Federation,Singles,WWF RAW is WAR #278,D-Lo Brown,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
233,"Billy Gunn, Triple H & X-Pac vs. D-Lo Brown, Jeff Jarrett & Owen Hart",09/15/1998,World Wrestling Federation,Six Man Tag Team,WWF Sunday Night Heat #8,Billy Gunn,Triple H,X-Pac,D-Lo Brown,Jeff Jarrett,Owen Hart,n/a,n/a
234,Al Snow vs. Sgt. Slaughter,09/15/1998,World Wrestling Federation,Boot Camp,WWF RAW is WAR #278,Al Snow,Sgt. Slaughter,n/a,n/a,n/a,n/a,n/a,n/a
235,Ken Shamrock vs. Mankind vs. The Rock,09/15/1998,World Wrestling Federation,Triple Threat,WWF RAW is WAR #278,Ken Shamrock,Mankind,The Rock,n/a,n/a,n/a,n/a,n/a
236,Owen Hart vs. Triple H,09/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #277,Owen Hart,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
237,Mankind vs. The Undertaker,09/14/1998,World Wrestling Federation,No Disqualification,WWF RAW is WAR #277,Mankind,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
238,Kane vs. The Rock,09/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #277,Kane,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
239,Ken Shamrock vs. Steve Austin,09/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #277,Ken Shamrock,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
240,D-Lo Brown & Mark Henry vs. Mosh & Thrasher,09/01/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #276 - Saturday Night,D-Lo Brown,Mark Henry,Mosh,Thrasher,n/a,n/a,n/a,n/a
241,Jeff Jarrett vs. X-Pac,09/01/1998,World Wrestling Federation,Lumberjack,WWF Sunday Night Heat #7,Jeff Jarrett,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
242,Edge vs. Jeff Jarrett,09/01/1998,World Wrestling Federation,Singles,WWF RAW is WAR #276 - Saturday Night,Edge,Jeff Jarrett,n/a,n/a,n/a,n/a,n/a,n/a
243,Billy Gunn & The Road Dogg vs. Mark Henry & The Rock,08/31/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #275 - Saturday Night,Billy Gunn,The Road Dogg,Mark Henry,The Rock,n/a,n/a,n/a,n/a
244,Brian Christopher & Scott Taylor vs. Jesus Castillo & Miguel Perez,08/31/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #275 - Saturday Night,Brian Christopher,Scott Taylor,Jesus Castillo,Miguel Perez,n/a,n/a,n/a,n/a
245,Billy Gunn & The Road Dogg vs. Mankind,08/30/1998,World Wrestling Federation,No Holds Barred Falls Count Anywhere Two On One Handicap,"WWF SummerSlam 1998 - ""Highway To Hell""",Billy Gunn,The Road Dogg,Mankind,n/a,n/a,n/a,n/a,n/a
246,D-Lo Brown vs. Val Venis,08/30/1998,World Wrestling Federation,Singles,"WWF SummerSlam 1998 - ""Highway To Hell""",D-Lo Brown,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
247,"Dick Togo, Mens Teioh, Sho Funaki & Taka Michinoku vs. Giant Silva, Golga & Kurrgan",08/30/1998,World Wrestling Federation,Four On Three Handicap,"WWF SummerSlam 1998 - ""Highway To Hell""",Dick Togo,Mens Teioh,Sho Funaki,Taka Michinoku,Giant Silva,Golga,Kurrgan,n/a
248,Jeff Jarrett vs. X-Pac,08/30/1998,World Wrestling Federation,Hair Vs. Hair,"WWF SummerSlam 1998 - ""Highway To Hell""",Jeff Jarrett,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
249,Edge & Sable vs. Jacqueline & Marc Mero,08/30/1998,World Wrestling Federation,Mixed Tag Team,"WWF SummerSlam 1998 - ""Highway To Hell""",Edge,Sable,Jacqueline,Marc Mero,n/a,n/a,n/a,n/a
250,The Rock vs. Triple H,08/30/1998,World Wrestling Federation,Ladder,"WWF SummerSlam 1998 - ""Highway To Hell""",The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
251,Steve Austin vs. The Undertaker,08/30/1998,World Wrestling Federation,Singles,"WWF SummerSlam 1998 - ""Highway To Hell""",Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
252,Ken Shamrock vs. Owen Hart,08/30/1998,World Wrestling Federation,Lion's Den,"WWF SummerSlam 1998 - ""Highway To Hell""",Ken Shamrock,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
253,Kane vs. Mankind,08/24/1998,World Wrestling Federation,Hell In A Cell,WWF RAW is WAR #274,Kane,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
254,"Dick Togo, Mens Teioh, Sho Funaki & Taka Michinoku vs. Val Venis",08/11/1998,World Wrestling Federation,Four On One Handicap Gauntlet,WWF RAW is WAR #273,Dick Togo,Mens Teioh,Sho Funaki,Taka Michinoku,Val Venis,n/a,n/a,n/a
255,"Billy Gunn, The Road Dogg, Triple H & X-Pac vs. D-Lo Brown, Mark Henry, The Godfather & The Rock",08/11/1998,World Wrestling Federation,Eight Man Tag Team Street Fight,WWF RAW is WAR #273,Billy Gunn,The Road Dogg,Triple H,X-Pac,D-Lo Brown,Mark Henry,The Godfather,The Rock
256,Billy Gunn & The Road Dogg vs. D-Lo Brown & The Rock vs. Kane & Mankind vs. Steve Austin & The Undertaker,08/10/1998,World Wrestling Federation,Four Corners Tag Team,WWF RAW is WAR #272,Billy Gunn,The Road Dogg,D-Lo Brown,The Rock,Kane,Mankind,Steve Austin,The Undertaker
257,Triple H vs. X-Pac,07/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #271,Triple H,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
258,Owen Hart & The Rock vs. Steve Austin & The Undertaker,07/28/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #271,Owen Hart,The Rock,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a
259,Billy Gunn & The Road Dogg vs. Kane & Mankind,07/28/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #271,Billy Gunn,The Road Dogg,Kane,Mankind,n/a,n/a,n/a,n/a
260,Kane & Mankind vs. Owen Hart & The Rock,07/27/1998,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #1,Kane,Mankind,Owen Hart,The Rock,n/a,n/a,n/a,n/a
261,Billy Gunn & The Road Dogg vs. Steve Austin & The Undertaker,07/27/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #270,Billy Gunn,The Road Dogg,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a
262,Bart Gunn vs. Steve Williams,07/27/1998,World Wrestling Federation,Brawl 4 All,WWF RAW is WAR #270,Bart Gunn,Steve Williams,n/a,n/a,n/a,n/a,n/a,n/a
263,The Rock vs. Triple H vs. X-Pac,07/27/1998,World Wrestling Federation,Triple Threat,WWF RAW is WAR #270,The Rock,Triple H,X-Pac,n/a,n/a,n/a,n/a,n/a
264,Jeff Jarrett vs. Val Venis,07/26/1998,World Wrestling Federation,Singles,WWF In Your House 23: Fully Loaded 1998,Jeff Jarrett,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
265,D-Lo Brown vs. X-Pac,07/26/1998,World Wrestling Federation,Singles,WWF In Your House 23: Fully Loaded 1998,D-Lo Brown,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
266,Bradshaw & Terry Funk vs. Faarooq & Scorpio,07/26/1998,World Wrestling Federation,Tag Team,WWF In Your House 23: Fully Loaded 1998,Bradshaw,Terry Funk,Faarooq,Scorpio,n/a,n/a,n/a,n/a
267,Mark Henry vs. Vader,07/26/1998,World Wrestling Federation,Singles,WWF In Your House 23: Fully Loaded 1998,Mark Henry,Vader,n/a,n/a,n/a,n/a,n/a,n/a
268,8-Ball & Skull vs. Animal & Hawk,07/26/1998,World Wrestling Federation,Tag Team,WWF In Your House 23: Fully Loaded 1998,8-Ball,Skull,Animal,Hawk,n/a,n/a,n/a,n/a
269,Kane & Mankind vs. Steve Austin & The Undertaker,07/26/1998,World Wrestling Federation,Tag Team,WWF In Your House 23: Fully Loaded 1998,Kane,Mankind,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a
270,The Rock vs. Triple H,07/26/1998,World Wrestling Federation,Best Two Out Of Three Falls,WWF In Your House 23: Fully Loaded 1998,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
271,Pierre vs. Steve Williams,07/14/1998,World Wrestling Federation,Brawl 4 All,WWF RAW is WAR #269,Pierre,Steve Williams,n/a,n/a,n/a,n/a,n/a,n/a
272,D-Lo Brown vs. Triple H,07/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #269,D-Lo Brown,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
273,Faarooq vs. Owen Hart,07/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #269,Faarooq,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
274,The Rock vs. X-Pac,07/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #269,The Rock,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
